slang,formal
& , dan
@ , di
1pun , satupun
22nya,dua-duanya
7an , tujuan
aaaaaaakkk,ah
aaaaahhhh,ah
aaaammmiiiinnnn,amin
aaahh,ah
aaamiiin,amin
aaamiiinnn,amin
aaamin,amin
aahh,ah
aama,sama
aamien,amien
aamiiiiinnn,amin
aamiiiinnnnn,amin
aamiiin,amin
aamiin,amin
aamiinin,amin
aamiinnn,amin
aamin,amin
ababil , abg labil
"abal""",abal-abal
abal2,abal-abal
abanggg,abang
abanggku,abangku
abeees,habis
abes,habis
abez,habis
abg,abang
abgnya,abangnya
abgnyaah,abangnya
abiiiiisssss,habis
abiiiss,habis
abis,habis
abis , habis
abis2,habis-habis
abiss,habis
abisss,habis
abiz,habis
abizzz,habis
abizzzz,habis
abs,habis
acc , accord
accord , sesuai
acra,acara
ad,ada
ad , ada
ada2,ada-ada
adaa,ada
adain,mengadakan
adapin,menghadapi
add,ada
ade,adek
adeeek,adek
adek2,adek-adek
adekx,adeknya
ademm,adem
ademmm,adem
adengan,adegan
adenya,adeknya
adeuh,aduh
adiik,adik
adkah,adakah
adl,adalah
adl , adalah
adlah , adalah
adlh,adalah
adlh , adalah
administ , administrasi
adoh , aduh
aduhh,aduh
aduhhh,aduh
aduhhhhhhhhh,aduh
aduuh,aduh
aduuhh,aduh
aduuhhh,aduh
aduuhhhh,aduh
aduuuh,aduh
adyem,adem
ae,saja
aee,saja
aelah,alah
aer,air
afaik , as far as i know
agama'ny,agamanya
agan2,agan-agan
agk,agak
agma,agama
agma , agama
aha , tertawa
ahaha , haha
ahahahanjirrr,anjir
ahh,ah
ahhh,ah
ahhhh,ah
ahiok , ahok
ahoax , ahok
ahokncc , ahok
aing , saya
aj,saja
aj , aja
aj , saja
aja,saja
aja , saja
ajaa,saja
ajaaa,saja
ajaaahhhhh,saja
ajah,saja
ajahhh,saja
ajaibb,ajaib
ajaibbbbb,ajaib
ajak2 , ajak-ajak
ajakin,mengajak
ajarin,ajarkan
aje,saja
ajep-ajep , dunia gemerlap
ajh,saja
